fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,36,TELANGANA,3626,Jagtial,1644522,290.422325840153,20,510,2275.239872641,1758,2,13933,1162969,289122,45986,77319,8878,399.43532,6052.19681124097,56395,69035,100782,179704,33,170582,278258,15691,3377.52161859997,871863,18,49.23,87.8,100.1,NA
2025-2026,Sep,36,TELANGANA,3632,Mahabubabad,2578724,258.34774348019,26,1373,848.230004547,1020,28,15676,2192778,210699,38010,1144229,147773,346.38734,6859.60982707704,83838,138815,138818,311637,116,236450,495232,16696,5664.99248253004,1233013,15,42.44,87.09,100.08,NA
2025-2026,Sep,36,TELANGANA,3634,Mancherial,1304698,258.032556910676,31,714,2017.204875703,1228,4,8747,1605762,514562,53649,299726,26607,412.45624,6573.049862203,50539,76323,78021,166233,209,131419,255516,9975,4143.3887465,1012393,18,47.11,77.36,100.46,NA
2025-2026,Sep,36,TELANGANA,3636,Nirmal,2730905,256.813326981234,28,1055,2267.848624912,1980,4,14248,2460600,471503,51794,636165,48060,399.62629,8986.62363861225,84971,134863,129680,261542,321,184618,346178,16228,6319.14872370025,1474079,28,22.65,80.91,100.06,NA
2025-2026,Sep,36,TELANGANA,3638,Sangareddy,2597562,256.9379264123,24,818,2214.002898646,2713,24,14069,1718847,599409,79554,240401,33595,552.06645,7182.43918864602,69586,102314,125398,251906,29,229346,420668,16782,4416.36984000002,1057822,11,35.61,79.27,100.14,NA
2025-2026,Sep,36,TELANGANA,3641,Rajanna Sirsilla,1039585,268.304301214688,27,418,1231.53186473,1446,5,8901,984859,233776,35229,158547,12380,286.07526,4160.02618262997,36143,48354,60676,131839,47,99932,203450,10347,2642.41905789997,688387,15,45.47,79.64,100.38,NA
2025-2026,Sep,36,TELANGANA,3644,Yadadri Bhuvanagiri,1386551,276.833785033601,25,1069,1771.809210021,2107,5,13655,1514125,308772,38206,188581,18804,467.58368,6431.00243766101,60535,77493,89738,179014,39,157648,292198,15762,4191.60954764001,1184451,42,77.87,91.96,100.03,NA
2025-2026,Sep,36,TELANGANA,3645,Mulugu,868467,276.351619158337,26,302,1280.992538479,455,0,5555,783617,106033,20624,342165,43317,214.83689,3661.36769597899,29504,47748,53121,118357,42,86240,182913,6010,2165.53826749999,420083,19,37.56,76.78,100.03,NA
2025-2026,Oct,36,TELANGANA,3617,Medak,2152755,265.054149732303,28,953,2220.202187087,1536,24,12438,1959871,330813,47064,329654,32614,441.08923,7856.01083198698,69160,111571,113432,245417,120,172508,345314,13974,5194.71941489998,1148129,19,45.36,86.55,100.25,NA
2025-2026,Oct,36,TELANGANA,3619,Adilabad,2083834,277.024114129501,43,1378,2449.172044256,3945,5,20439,3653271,549736,39598,1921948,110801,417.7382,12987.351868756,84077,150392,110196,234962,745,174418,345559,24384,10120.4416245,1849914,49,61.06,87.46,100.59,NA
2025-2026,Oct,36,TELANGANA,3628,Jayashanker Bhopalapally,1243338,252.161186916551,21,594,186.3731468,1761,7,6646,761848,184238,40394,113320,18131,222.50582,2329.9639261,34648,54533,70884,165601,39,112977,250062,8407,1921.0849593,414636,17,47.56,65.38,102.36,NA
